Municipios;Sexo;Periodo;Total
28032 Camarma de Esteruelas;Total;2015;7.134
28033 Campo Real;Total;2024;6.802
28033 Campo Real;Total;2023;6.781
28033 Campo Real;Total;2022;6.651
28033 Campo Real;Total;2021;6.416
28033 Campo Real;Total;2020;6.420
28033 Campo Real;Total;2019;6.210
28033 Campo Real;Total;2018;6.075
28033 Campo Real;Total;2017;5.995
28033 Campo Real;Total;2016;5.888
28033 Campo Real;Total;2015;5.854
28034 Canencia;Total;2024;469
28034 Canencia;Total;2023;460
28034 Canencia;Total;2022;455
28034 Canencia;Total;2021;461
28034 Canencia;Total;2020;447
28034 Canencia;Total;2019;447
28034 Canencia;Total;2018;423
28034 Canencia;Total;2017;448
28034 Canencia;Total;2016;451
28034 Canencia;Total;2015;464
28035 Carabaña;Total;2024;2.352
28035 Carabaña;Total;2023;2.273
28035 Carabaña;Total;2022;2.210
28035 Carabaña;Total;2021;2.142
28035 Carabaña;Total;2020;2.081
28035 Carabaña;Total;2019;2.010
28035 Carabaña;Total;2018;1.905
28035 Carabaña;Total;2017;1.940
28035 Carabaña;Total;2016;1.948
28035 Carabaña;Total;2015;2.017
28036 Casarrubuelos;Total;2024;4.211
28036 Casarrubuelos;Total;2023;4.062
28036 Casarrubuelos;Total;2022;3.961
28036 Casarrubuelos;Total;2021;3.939
28036 Casarrubuelos;Total;2020;3.845
28036 Casarrubuelos;Total;2019;3.778
28036 Casarrubuelos;Total;2018;3.707
28036 Casarrubuelos;Total;2017;3.650
28036 Casarrubuelos;Total;2016;3.589
28036 Casarrubuelos;Total;2015;3.548
28037 Cenicientos;Total;2024;2.148
28037 Cenicientos;Total;2023;2.097
28037 Cenicientos;Total;2022;2.089
28037 Cenicientos;Total;2021;2.083
28037 Cenicientos;Total;2020;2.038
28037 Cenicientos;Total;2019;2.033
28037 Cenicientos;Total;2018;1.980
28037 Cenicientos;Total;2017;1.984
28037 Cenicientos;Total;2016;1.986
28037 Cenicientos;Total;2015;2.035
28038 Cercedilla;Total;2024;7.647
28038 Cercedilla;Total;2023;7.648
28038 Cercedilla;Total;2022;7.533
28038 Cercedilla;Total;2021;7.359
28038 Cercedilla;Total;2020;7.205
28038 Cercedilla;Total;2019;7.026
28038 Cercedilla;Total;2018;6.948
28038 Cercedilla;Total;2017;6.853
28038 Cercedilla;Total;2016;6.751
28038 Cercedilla;Total;2015;6.781
28039 Cervera de Buitrago;Total;2024;161
28039 Cervera de Buitrago;Total;2023;164
28039 Cervera de Buitrago;Total;2022;169
28039 Cervera de Buitrago;Total;2021;158
28039 Cervera de Buitrago;Total;2020;162
28039 Cervera de Buitrago;Total;2019;150
28039 Cervera de Buitrago;Total;2018;149
28039 Cervera de Buitrago;Total;2017;156
28039 Cervera de Buitrago;Total;2016;157
28039 Cervera de Buitrago;Total;2015;164
28051 Chapinería;Total;2024;2.642
28051 Chapinería;Total;2023;2.604
28051 Chapinería;Total;2022;2.512
28051 Chapinería;Total;2021;2.494
28051 Chapinería;Total;2020;2.414
28051 Chapinería;Total;2019;2.328
28051 Chapinería;Total;2018;2.240
28051 Chapinería;Total;2017;2.225
28051 Chapinería;Total;2016;2.214
28051 Chapinería;Total;2015;2.158
28052 Chinchón;Total;2024;5.818
28052 Chinchón;Total;2023;5.664
28052 Chinchón;Total;2022;5.658
28052 Chinchón;Total;2021;5.506
28052 Chinchón;Total;2020;5.413
28052 Chinchón;Total;2019;5.331
28052 Chinchón;Total;2018;5.239
28052 Chinchón;Total;2017;5.240
28052 Chinchón;Total;2016;5.294
28052 Chinchón;Total;2015;5.436
28040 Ciempozuelos;Total;2024;26.140
28040 Ciempozuelos;Total;2023;25.866
28040 Ciempozuelos;Total;2022;25.383
28040 Ciempozuelos;Total;2021;25.083
28040 Ciempozuelos;Total;2020;25.104
28040 Ciempozuelos;Total;2019;24.592
28040 Ciempozuelos;Total;2018;24.087
28040 Ciempozuelos;Total;2017;23.737
28040 Ciempozuelos;Total;2016;23.773
28040 Ciempozuelos;Total;2015;23.696
28041 Cobeña;Total;2024;7.759
28041 Cobeña;Total;2023;7.698
28041 Cobeña;Total;2022;7.551
28041 Cobeña;Total;2021;7.444
28041 Cobeña;Total;2020;7.486
28041 Cobeña;Total;2019;7.428
28041 Cobeña;Total;2018;7.280
28041 Cobeña;Total;2017;7.163
28041 Cobeña;Total;2016;7.009
28041 Cobeña;Total;2015;6.983
28046 Collado Mediano;Total;2024;7.547
28046 Collado Mediano;Total;2023;7.490
28046 Collado Mediano;Total;2022;7.456
28046 Collado Mediano;Total;2021;7.348
28046 Collado Mediano;Total;2020;7.105
28046 Collado Mediano;Total;2019;6.958
28046 Collado Mediano;Total;2018;6.781
28046 Collado Mediano;Total;2017;6.666
28046 Collado Mediano;Total;2016;6.583
28046 Collado Mediano;Total;2015;6.599
28047 Collado Villalba;Total;2024;66.698
28047 Collado Villalba;Total;2023;65.657
28047 Collado Villalba;Total;2022;64.263
28047 Collado Villalba;Total;2021;63.825
28047 Collado Villalba;Total;2020;64.378
28047 Collado Villalba;Total;2019;63.679
28047 Collado Villalba;Total;2018;63.074
28047 Collado Villalba;Total;2017;62.152
28047 Collado Villalba;Total;2016;61.597
28047 Collado Villalba;Total;2015;62.056
28043 Colmenar de Oreja;Total;2024;8.888
28043 Colmenar de Oreja;Total;2023;8.649
28043 Colmenar de Oreja;Total;2022;8.462
28043 Colmenar de Oreja;Total;2021;8.303
28043 Colmenar de Oreja;Total;2020;8.154
28043 Colmenar de Oreja;Total;2019;8.032
28043 Colmenar de Oreja;Total;2018;7.902
28043 Colmenar de Oreja;Total;2017;7.810
28043 Colmenar de Oreja;Total;2016;7.946
28043 Colmenar de Oreja;Total;2015;8.071
28042 Colmenar del Arroyo;Total;2024;2.015
28042 Colmenar del Arroyo;Total;2023;1.947
28042 Colmenar del Arroyo;Total;2022;1.936
28042 Colmenar del Arroyo;Total;2021;1.875
28042 Colmenar del Arroyo;Total;2020;1.785
28042 Colmenar del Arroyo;Total;2019;1.725
28042 Colmenar del Arroyo;Total;2018;1.685
28042 Colmenar del Arroyo;Total;2017;1.632
28042 Colmenar del Arroyo;Total;2016;1.632
28042 Colmenar del Arroyo;Total;2015;1.611
28045 Colmenar Viejo;Total;2024;57.029
28045 Colmenar Viejo;Total;2023;55.198
28045 Colmenar Viejo;Total;2022;53.389
28045 Colmenar Viejo;Total;2021;52.480
28045 Colmenar Viejo;Total;2020;51.938
28045 Colmenar Viejo;Total;2019;50.752
28045 Colmenar Viejo;Total;2018;49.498
28045 Colmenar Viejo;Total;2017;48.614
28045 Colmenar Viejo;Total;2016;48.020
28045 Colmenar Viejo;Total;2015;47.601
28044 Colmenarejo;Total;2024;9.623
28044 Colmenarejo;Total;2023;9.534
28044 Colmenarejo;Total;2022;9.473
28044 Colmenarejo;Total;2021;9.376
28044 Colmenarejo;Total;2020;9.230
28044 Colmenarejo;Total;2019;9.130
28044 Colmenarejo;Total;2018;9.124
28044 Colmenarejo;Total;2017;9.015
28044 Colmenarejo;Total;2016;8.945
28044 Colmenarejo;Total;2015;8.934
28048 Corpa;Total;2024;792
28048 Corpa;Total;2023;798
28048 Corpa;Total;2022;764
28048 Corpa;Total;2021;742
28048 Corpa;Total;2020;723
28048 Corpa;Total;2019;713
28048 Corpa;Total;2018;697
28048 Corpa;Total;2017;684
28048 Corpa;Total;2016;672
28048 Corpa;Total;2015;669
28049 Coslada;Total;2024;80.760
28049 Coslada;Total;2023;80.171
28049 Coslada;Total;2022;80.596
28049 Coslada;Total;2021;81.273
28049 Coslada;Total;2020;81.391
28049 Coslada;Total;2019;81.661
28049 Coslada;Total;2018;81.860
28049 Coslada;Total;2017;83.011
28049 Coslada;Total;2016;84.533
28049 Coslada;Total;2015;86.919
28050 Cubas de la Sagra;Total;2024;6.988
28050 Cubas de la Sagra;Total;2023;6.817
28050 Cubas de la Sagra;Total;2022;6.698
28050 Cubas de la Sagra;Total;2021;6.642
28050 Cubas de la Sagra;Total;2020;6.539
28050 Cubas de la Sagra;Total;2019;6.413
28050 Cubas de la Sagra;Total;2018;6.310
28050 Cubas de la Sagra;Total;2017;6.112
28050 Cubas de la Sagra;Total;2016;5.971
28050 Cubas de la Sagra;Total;2015;5.875
28053 Daganzo de Arriba;Total;2024;10.703
28053 Daganzo de Arriba;Total;2023;10.611
28053 Daganzo de Arriba;Total;2022;10.650
28053 Daganzo de Arriba;Total;2021;10.520
28053 Daganzo de Arriba;Total;2020;10.337
28053 Daganzo de Arriba;Total;2019;10.205
28053 Daganzo de Arriba;Total;2018;10.061
28053 Daganzo de Arriba;Total;2017;10.082
28053 Daganzo de Arriba;Total;2016;9.981
28053 Daganzo de Arriba;Total;2015;9.919
28054 Escorial, El;Total;2024;17.176
28054 Escorial, El;Total;2023;16.873
28054 Escorial, El;Total;2022;16.618
28054 Escorial, El;Total;2021;16.594
28054 Escorial, El;Total;2020;16.365
28054 Escorial, El;Total;2019;16.162
28054 Escorial, El;Total;2018;15.842
28054 Escorial, El;Total;2017;15.562
28054 Escorial, El;Total;2016;15.364
28054 Escorial, El;Total;2015;15.342
28055 Estremera;Total;2024;1.467
28055 Estremera;Total;2023;1.453
28055 Estremera;Total;2022;1.410
28055 Estremera;Total;2021;1.381
28055 Estremera;Total;2020;1.334
28055 Estremera;Total;2019;1.260
28055 Estremera;Total;2018;1.236
28055 Estremera;Total;2017;1.261
28055 Estremera;Total;2016;1.319
28055 Estremera;Total;2015;1.350
28056 Fresnedillas de la Oliva;Total;2024;1.837
28056 Fresnedillas de la Oliva;Total;2023;1.791
28056 Fresnedillas de la Oliva;Total;2022;1.784
28056 Fresnedillas de la Oliva;Total;2021;1.742
28056 Fresnedillas de la Oliva;Total;2020;1.651
28056 Fresnedillas de la Oliva;Total;2019;1.572
28056 Fresnedillas de la Oliva;Total;2018;1.554
28056 Fresnedillas de la Oliva;Total;2017;1.550
28056 Fresnedillas de la Oliva;Total;2016;1.547
28056 Fresnedillas de la Oliva;Total;2015;1.554
28057 Fresno de Torote;Total;2024;2.548
28057 Fresno de Torote;Total;2023;2.522
28057 Fresno de Torote;Total;2022;2.444
28057 Fresno de Torote;Total;2021;2.416
28057 Fresno de Torote;Total;2020;2.299
28057 Fresno de Torote;Total;2019;2.221
28057 Fresno de Torote;Total;2018;2.181
28057 Fresno de Torote;Total;2017;2.115
28057 Fresno de Torote;Total;2016;2.044
28057 Fresno de Torote;Total;2015;2.041
28058 Fuenlabrada;Total;2024;190.790
28058 Fuenlabrada;Total;2023;188.736
28058 Fuenlabrada;Total;2022;189.891
28058 Fuenlabrada;Total;2021;192.233
28058 Fuenlabrada;Total;2020;194.514
28058 Fuenlabrada;Total;2019;193.700
28058 Fuenlabrada;Total;2018;193.586
28058 Fuenlabrada;Total;2017;194.669
28058 Fuenlabrada;Total;2016;194.171
28058 Fuenlabrada;Total;2015;195.180
28059 Fuente el Saz de Jarama;Total;2024;7.379
28059 Fuente el Saz de Jarama;Total;2023;7.182
28059 Fuente el Saz de Jarama;Total;2022;7.034
28059 Fuente el Saz de Jarama;Total;2021;6.883
28059 Fuente el Saz de Jarama;Total;2020;6.807
28059 Fuente el Saz de Jarama;Total;2019;6.696
28059 Fuente el Saz de Jarama;Total;2018;6.541
28059 Fuente el Saz de Jarama;Total;2017;6.424
28059 Fuente el Saz de Jarama;Total;2016;6.403
28059 Fuente el Saz de Jarama;Total;2015;6.440
28060 Fuentidueña de Tajo;Total;2024;2.328
28060 Fuentidueña de Tajo;Total;2023;2.270
28060 Fuentidueña de Tajo;Total;2022;2.250
28060 Fuentidueña de Tajo;Total;2021;2.228
28060 Fuentidueña de Tajo;Total;2020;2.136
28060 Fuentidueña de Tajo;Total;2019;2.053
28060 Fuentidueña de Tajo;Total;2018;1.985
28060 Fuentidueña de Tajo;Total;2017;1.980
28060 Fuentidueña de Tajo;Total;2016;1.936
28060 Fuentidueña de Tajo;Total;2015;1.954
28061 Galapagar;Total;2024;36.184
28061 Galapagar;Total;2023;35.273
28061 Galapagar;Total;2022;34.834
28061 Galapagar;Total;2021;34.712
28061 Galapagar;Total;2020;34.497
28061 Galapagar;Total;2019;33.742
28061 Galapagar;Total;2018;33.379
28061 Galapagar;Total;2017;32.903
28061 Galapagar;Total;2016;32.404
28061 Galapagar;Total;2015;32.294
28062 Garganta de los Montes;Total;2024;416
28062 Garganta de los Montes;Total;2023;420
28062 Garganta de los Montes;Total;2022;395
28062 Garganta de los Montes;Total;2021;411
28062 Garganta de los Montes;Total;2020;377
28062 Garganta de los Montes;Total;2019;347
28062 Garganta de los Montes;Total;2018;348
28062 Garganta de los Montes;Total;2017;331
28062 Garganta de los Montes;Total;2016;351
28062 Garganta de los Montes;Total;2015;367
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2024;397
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2023;388
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2022;361
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2021;344
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2020;309
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2019;316
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2018;318
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2017;315
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2016;325
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2015;351
28064 Gascones;Total;2024;239
28064 Gascones;Total;2023;229
28064 Gascones;Total;2022;212
28064 Gascones;Total;2021;191
28064 Gascones;Total;2020;176
28064 Gascones;Total;2019;193
28064 Gascones;Total;2018;188
28064 Gascones;Total;2017;176
28064 Gascones;Total;2016;171
28064 Gascones;Total;2015;176
28065 Getafe;Total;2024;189.906
28065 Getafe;Total;2023;185.899
28065 Getafe;Total;2022;183.219
28065 Getafe;Total;2021;183.095
28065 Getafe;Total;2020;185.180
28065 Getafe;Total;2019;183.374
28065 Getafe;Total;2018;180.747
28065 Getafe;Total;2017;178.288
28065 Getafe;Total;2016;176.659
28065 Getafe;Total;2015;174.921
28066 Griñón;Total;2024;10.718
28066 Griñón;Total;2023;10.087
28066 Griñón;Total;2022;10.491
28066 Griñón;Total;2021;10.467
28066 Griñón;Total;2020;10.435
28066 Griñón;Total;2019;10.319
28066 Griñón;Total;2018;10.178
