Municipios de 500 habitantes o más;Sexo;Edad;Nivel de estudios;Periodo;Total
28043 Colmenar de Oreja;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.705
28043 Colmenar de Oreja;Total;15 y más años;Educación superior;2024;1.505
28044 Colmenarejo;Total;15 y más años;Educación primaria e inferior;2024;591
28044 Colmenarejo;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.700
28044 Colmenarejo;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;2.307
28044 Colmenarejo;Total;15 y más años;Educación superior;2024;3.720
28045 Colmenar Viejo;Total;15 y más años;Educación primaria e inferior;2024;4.733
28045 Colmenar Viejo;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;10.691
28045 Colmenar Viejo;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;11.519
28045 Colmenar Viejo;Total;15 y más años;Educación superior;2024;20.531
28046 Collado Mediano;Total;15 y más años;Educación primaria e inferior;2024;462
28046 Collado Mediano;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.175
28046 Collado Mediano;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.657
28046 Collado Mediano;Total;15 y más años;Educación superior;2024;3.175
28047 Collado Villalba;Total;15 y más años;Educación primaria e inferior;2024;4.687
28047 Collado Villalba;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;9.999
28047 Collado Villalba;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;19.730
28047 Collado Villalba;Total;15 y más años;Educación superior;2024;23.716
28048 Corpa;Total;15 y más años;Educación primaria e inferior;2024;82
28048 Corpa;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;272
28048 Corpa;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;141
28048 Corpa;Total;15 y más años;Educación superior;2024;168
28049 Coslada;Total;15 y más años;Educación primaria e inferior;2024;9.977
28049 Coslada;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;22.463
